,Ret_time,ticker,pos,neu,neg,ret
128,1/29/21,AMC,0,1,0,0.194490899
129,1/29/21,TD,0,1,0,0.003505612
130,1/29/21,RH,0,1,0,0.025369432
131,1/29/21,GME,0,1,0,0.432867892
132,1/29/21,RH,0,0.788,0.212,0.025369432
133,1/29/21,BB,0,0.798,0.202,-0.076527983
134,1/29/21,GME,0,0.798,0.202,0.432867892
135,1/29/21,BB,0,1,0,-0.076527983
136,1/29/21,NOK,0,1,0,-0.009652451
137,1/29/21,GME,0,1,0,0.432867892
138,1/29/21,AMC,0,1,0,0.194490899
139,1/29/21,GME,0,0.84,0.16,0.432867892
140,1/29/21,SNDL,0,1,0,-0.131523994
141,1/29/21,ONE,0,0.741,0.259,-0.033766202
142,1/29/21,GME,0.166,0.834,0,0.432867892
143,1/29/21,RH,0.209,0.57,0.222,0.025369432
144,1/29/21,GME,0,1,0,0.432867892
145,1/29/21,AAL,0,1,0,-0.080668932
146,1/29/21,AAL,0,1,0,-0.080668932
147,1/29/21,RH,0,0.803,0.197,0.025369432
148,1/29/21,AAL,0,0.845,0.155,-0.080668932
149,1/29/21,AAL,0.354,0.646,0,-0.080668932
150,1/29/21,RH,0.208,0.668,0.123,0.025369432
151,1/29/21,GME,0,0.88,0.12,0.432867892
152,1/29/21,RH,0,1,0,0.025369432
153,1/29/21,BB,0,0.896,0.104,-0.076527983
154,1/29/21,NOK,0,1,0,-0.009652451
155,1/29/21,AMC,0,1,0,0.194490899
156,1/29/21,AAL,0,1,0,-0.080668932
157,1/29/21,AAL,0,1,0,-0.080668932
158,1/29/21,GME,0.211,0.694,0.095,0.432867892
159,1/29/21,NOK,0,1,0,-0.009652451
160,1/29/21,GME,0,0.506,0.494,0.432867892
161,1/29/21,GME,0,1,0,0.432867892
162,1/29/21,GME,0,1,0,0.432867892
163,1/29/21,GME,0.149,0.812,0.039,0.432867892
164,1/29/21,AMC,0,1,0,0.194490899
165,1/29/21,GME,0,1,0,0.432867892
166,1/29/21,AMC,0,1,0,0.194490899
167,1/29/21,NOK,0.127,0.873,0,-0.009652451
168,1/29/21,BY,0.127,0.873,0,0.063502639
169,1/29/21,GME,0.127,0.873,0,0.432867892
170,1/29/21,BB,0.127,0.873,0,-0.076527983
171,1/29/21,AMC,0.127,0.873,0,0.194490899
172,1/29/21,GME,0,0.49,0.51,0.432867892
173,1/29/21,AAL,0,0.58,0.42,-0.080668932
174,1/29/21,AMC,0,1,0,0.194490899
175,1/29/21,AMC,0,0.631,0.369,0.194490899
176,1/29/21,RH,0,1,0,0.025369432
177,1/29/21,GME,0,1,0,0.432867892
