index,PLTR,RKT,ONE,AMC,REAL,SPCE,AMD,DD,GME,TSLA,CRSR,RH,BB,CLOV,NOK,AM,WISH,UWMC,BY,MVIS,NIO,APP,SNDL,AAL,TD
2021-01-28,-0.0981285022325721,-0.07307526411054302,-0.02077920147732802,-0.2796326841236307,0.07553649298333044,-0.07310251201637884,-0.025715297126819168,0.03680987936409637,-0.26943393923201664,0.018817064238757623,-0.09095237368629092,0.03286540549643033,-0.2475603423117831,-0.048037892488123846,-0.09459455354370547,-0.01555025356216194,-0.0554448881063329,-0.018719171184640154,0.0013368652432059417,-0.08470291899097156,0.0283650573988967,,-0.13883091400487027,-0.10969009102828388,0.010517130531854638
2021-01-29,-0.0390603737048681,-0.12098760160556382,0.005376338917391352,-0.07337527323168203,-0.05506780487533834,-0.026593386471926668,-0.021927800622201715,-0.013288620708311438,-0.1440836235186364,-0.04393972373870482,-0.013834575176070027,0.004373590756763577,-0.21579528696050299,-0.007117464776666962,-0.11111114209468148,-0.014598525749495612,0.04048443224005309,-0.0050200994521446786,0.010056558701861338,-0.024691334606381718,-0.034389273611315864,,-0.02043271538410178,-0.0813269349561478,-0.011528381614185297
2021-02-01,-0.038777318867212925,-0.004160806691222506,-0.002695415191492008,-0.21764704760383177,0.006273509807090402,0.14034350230143422,0.009558929097682432,-0.014684142772349125,-0.2892342629035005,0.031340210760144024,-0.03987841475736902,0.011873951348971923,-0.0006830757272756264,-0.022646828891188717,-0.01609656480548274,-0.03961583754243724,-0.02072212996883027,-0.004926033393071925,0.029247120698732924,0.008207926573078296,-0.035212426394166274,,0.2100000381469731,-0.023768107096354168,-0.005101092499801809
2021-02-02,-0.09032252651550314,-0.04076955532564831,-0.01061006951071598,-0.17510542729238973,-0.01873723416570407,-0.17084823852984862,0.004181294558868121,0.0333873138581996,-0.36061378578961784,0.0332788577867407,0.002356024889800502,-0.02740474977915857,-0.14253897833941626,-0.027835742638539867,-0.044303707056989036,-0.007722000376682719,-0.08906251192092907,-0.01431294132463904,0.0035715104771347583,0.025537641903116047,-0.02260779678374109,,-0.03703711062301553,-0.025836788979266327,0.012445207606793926
2021-02-03,-0.019450422125291557,-0.018055615282842215,-0.013440847293478081,0.013559308518261731,0.0037021865308544447,0.14285713195364647,-0.008013533822802918,-0.010039557958708608,-0.17498435943499863,-0.025461239872014218,0.08786183317994163,-0.017756657436025707,0.02389076165457918,-0.008528776699492277,0.015118724210370959,0.04247109412526191,-0.008210734686169934,0.0392694349466519,0.010759133897245848,0.15031056018354144,0.03609722106525478,,0.025423806722535407,0.059602633036701456,0.003979230887062997
2021-02-04,-0.016267727569276913,-0.0018510372233944568,0.013550122368818416,-0.18505743585909779,0.01834483664877377,-0.039999978584155826,-0.0043074685735021495,0.03314992819604405,-0.4133128789597719,-0.0058596605445906435,0.017946438152601184,0.022750636430773744,0.0024752255160442834,-0.0008170121788259689,-0.026726033780887486,-0.022222258851686785,0.005145784579528014,-0.10815444776525017,0.034890606618082694,0.12896178736292827,-0.020241578888833666,,-0.08000001907348633,-0.00457665479411259,0.003100246312749567
2021-02-05,0.044158190731584286,0.006046472593795534,0.0025062632680088338,-0.04741982551883474,-0.048259540647386676,-0.014687241176429213,-0.002836074823284098,-0.014424959770929799,0.18005180195029585,0.008556189903846155,-0.01652537744059951,-0.010304892935404078,0.10989928335215846,0.03192343022578335,-0.02540418832623327,0.003745284908110431,-0.0393013120021238,-0.01866409905322073,0.006282159275481856,0.0990476154145742,-0.01853140766222951,,-0.05042021773425463,-0.023295445370772848,-0.0044293378679922816
2021-02-08,-0.031434764784257274,-0.014585218187551183,-0.05824037273422573,-0.10174422593874888,0.007880490331776107,0.004643656255384538,0.03578307948669923,-0.016742386300241874,-0.17138520970139473,-0.007186634151825928,-0.012030022938172484,0.01899367681804709,-0.0014513428502830547,-0.05138037409922964,-0.004672892510771496,0.018518470551362857,-0.028915668662609122,-0.03353657709235569,0.026419296749123182,0.17384372502451298,0.034863311141080974,,0.11304347645808292,0.025981568756835747,0.006142306886241261
2021-02-09,0.03441725177641844,-0.013921078778723249,0.030769200673000496,-0.053356272948814364,0.031726429470146894,0.011773097239461405,-0.005252169063844316,-0.020399983723958313,-0.1112877436695971,-0.006618922697224025,-0.04893615398001164,-0.001802330801009067,-0.013225522119183894,0.042789220820116235,-0.016431964295868358,0.008454184873918644,0.06760668291935513,-0.01590674097033273,0.015769490220352102,0.05974389572148182,0.06598811432236644,,0.18705035477628337,-0.01691089294989493,0.002544123612756411
2021-02-10,-0.06422020091604744,-0.01597745026395887,0.044554413375801745,0.015761847983646906,0.00956555478910214,-0.06446429661342076,0.0092896008100666,-0.05420307817087036,0.008469574577481145,-0.04601489574957615,-0.009860771510600535,-0.011296187365609753,0.0022953854128542938,-0.05159334517683916,-0.009501178501326918,0.026253014800046565,-0.03434344887413119,-0.0236305324503804,0.0021379432113676215,-0.0855650152653292,-0.02062351608731955,,0.33484162749481816,-0.007977173546127718,-0.0021981919083007414
