Day,PLTR,RKT,ONE,AMC,REAL,SPCE,AMD,DD,GME,TSLA,CRSR,RH,BB,CLOV,NOK,AM,WISH,UWMC,BY,MVIS,NIO,APP,SNDL,AAL,TD
44275,-18,19,144,8,144,0,13,42,32,82,-118,-24,66,0,-10,-124,144,30,0,0,-118,-144,129,117,0
44276,-6,37,49,47,49,0,6,33,29,-37,-37,-6,43,0,0,-49,49,0,0,0,-43,-49,43,49,0
44277,-14,51,60,7,60,0,1,3,-2,-15,-58,-1,59,0,0,-60,60,0,0,0,-59,-60,59,60,0
44278,-75,96,113,22,113,0,-36,5,29,-89,-61,-7,106,0,0,-61,113,50,-40,0,-106,-113,105,14,0
44279,50,123,143,14,143,0,-130,11,4,101,104,-7,136,0,0,108,143,130,-136,0,-136,-143,143,7,-72
44280,-119,61,269,47,269,0,-246,8,40,263,222,-20,249,0,0,-18,269,237,-247,0,-249,-269,269,21,-245
44281,40,15,185,132,185,118,-163,84,48,150,150,0,72,0,0,-123,185,12,-173,0,-185,-185,185,11,-172
44282,28,90,140,98,140,129,5,69,64,-9,7,0,43,0,0,-138,140,16,-130,0,-140,-140,140,0,-98
44283,22,47,48,34,48,34,15,14,-6,-9,-9,0,48,0,0,-43,48,33,-37,0,-48,-48,48,0,-2
44284,64,64,66,51,66,59,-7,26,27,2,2,0,66,0,0,-54,66,66,-66,0,-66,-66,66,0,-2
44285,27,6,101,51,101,93,64,-5,35,60,8,0,88,0,0,-88,101,101,43,0,-101,-101,101,0,-8
44286,-44,9,84,80,84,80,76,0,19,46,4,0,57,0,0,-80,84,62,76,0,-84,-84,84,0,-4
44287,18,69,138,-36,138,130,110,3,29,37,93,0,-47,0,0,-130,138,47,108,26,-138,-138,138,0,-13
44288,9,77,84,30,84,77,45,71,-2,-37,83,0,-55,0,0,-77,84,45,68,0,-84,-84,84,0,-8
44289,27,33,37,36,37,37,27,34,0,16,37,0,-32,0,0,-37,37,27,27,0,-37,-37,37,0,-5
44290,6,6,6,6,6,6,6,0,4,6,6,0,-6,0,0,-6,6,6,6,0,-6,-6,6,0,0
44291,34,34,38,35,38,38,29,0,-8,5,27,0,-29,0,0,-38,38,29,32,0,-32,-38,38,0,-3
44292,75,15,78,72,78,78,21,10,15,49,72,0,43,0,0,-78,78,5,72,0,66,-78,78,0,0
44293,62,35,66,60,66,66,63,12,46,63,62,0,35,0,0,-66,66,4,60,0,58,-66,66,0,-1
44294,51,-19,41,-13,71,69,61,30,24,70,69,0,9,0,0,-71,71,1,71,-30,67,-71,71,0,0
44295,38,-46,39,-75,107,107,50,13,-2,94,91,0,61,0,0,-107,107,3,97,-89,75,-107,107,0,0
44296,41,1,82,-54,82,82,2,3,36,82,80,0,78,0,0,-82,82,2,82,-77,78,-82,82,0,0
44297,23,-1,29,4,29,29,4,0,23,29,25,0,25,0,0,-29,29,4,29,0,21,-29,29,0,0
44298,21,0,45,13,47,47,11,2,25,47,36,-2,25,0,2,-47,47,13,45,-2,25,-47,47,0,0
44299,-83,89,8,58,105,105,60,32,4,105,99,-97,59,0,97,-105,105,37,8,-97,93,-105,105,0,0
44300,44,118,4,110,122,122,41,90,-29,82,122,-118,4,0,78,-122,122,0,22,-118,122,-122,122,0,0
44301,41,-74,9,-1,83,83,22,74,-21,39,83,-74,9,0,0,-83,83,0,83,-74,83,-83,83,0,0
44302,80,-19,10,53,80,80,10,70,16,80,80,-70,10,0,0,-80,80,0,80,-70,64,-80,80,0,0
44303,92,0,8,68,92,92,0,-41,32,-70,92,-84,8,0,0,-92,92,4,92,-84,92,-92,92,0,0
44304,24,0,1,-22,24,24,0,-3,-23,-22,24,-23,1,8,0,-24,24,0,24,-23,24,-24,24,0,0
44305,23,0,0,-23,23,23,0,12,-23,-23,23,-23,0,6,0,-23,23,0,23,-23,23,-23,23,0,0
44306,-25,-35,0,-67,67,40,0,24,-17,17,67,-67,-47,41,0,-67,67,0,67,5,67,-67,67,0,0
44307,62,-67,0,-67,69,1,0,58,63,69,69,-2,-67,18,1,-69,69,1,68,-3,68,-69,69,0,0
44308,58,58,0,58,58,58,0,58,-8,58,58,58,58,58,58,-58,58,12,0,37,0,-58,58,0,0
44309,46,46,0,46,46,46,0,2,-14,0,46,46,46,46,46,-46,46,-46,0,46,0,-46,46,0,0
44310,58,58,0,42,58,58,0,58,-36,0,58,58,58,53,58,-58,58,-58,0,37,0,-58,58,0,0
44311,19,19,0,0,19,19,0,0,-19,0,19,19,19,0,19,-19,19,-19,0,19,-8,-19,19,0,0
44312,25,25,0,0,25,25,0,20,-25,0,25,25,25,0,25,-25,25,-25,0,20,-25,-25,25,0,0
44313,112,112,0,42,112,112,0,49,5,-73,112,60,112,0,112,-112,112,-112,0,63,-112,-112,112,0,0
44314,84,84,0,62,84,84,26,84,0,-84,84,-32,84,7,84,-84,84,-62,0,0,-49,-84,84,0,0
44315,-53,93,0,84,93,93,93,57,0,-93,93,-93,33,0,80,-93,93,93,0,17,0,-93,93,0,0
44316,-48,48,0,48,48,48,3,0,16,-48,48,-48,-14,-27,25,-48,48,48,0,27,0,-48,48,0,0
44317,-53,6,0,53,53,53,0,7,23,-9,53,-53,53,1,53,-53,53,53,0,-28,17,-53,53,0,0
44321,18,21,0,0,42,0,0,0,0,42,0,42,42,42,42,-42,42,0,0,0,0,-42,42,0,0
44322,-93,56,0,101,161,37,-88,113,80,161,118,161,161,161,161,-161,161,0,0,0,0,-161,161,0,0
44323,110,-57,0,140,180,121,-116,40,102,180,121,180,146,121,121,-121,180,117,0,0,0,-180,180,0,0
44324,44,59,0,-17,126,10,0,-6,-70,126,10,126,126,113,105,-37,126,87,0,0,0,-126,126,0,0
44325,34,41,0,0,41,0,0,0,0,41,0,27,34,26,34,-34,41,7,0,0,0,-41,41,0,0
44326,1,61,0,56,61,0,0,0,4,61,0,-59,1,56,1,-1,61,60,0,0,0,-61,61,0,0
44327,20,69,0,118,119,0,0,0,118,119,0,11,1,119,1,-1,119,45,0,0,0,-119,119,0,0
44328,36,-62,-65,69,27,0,65,1,13,27,0,-38,68,27,68,-3,92,42,0,-65,0,-92,92,0,0
44329,-16,-98,-101,102,85,0,92,0,52,4,0,-97,104,4,28,-3,105,39,0,-101,0,-105,105,0,0
44330,2,-107,-110,-10,114,0,110,0,110,23,0,-106,52,4,3,-3,114,110,0,-26,0,-114,114,0,0
44331,8,-66,-73,24,81,0,73,13,19,8,0,-65,7,8,7,-7,81,57,0,0,0,-81,81,0,0
44332,0,-21,-21,21,21,0,21,21,21,0,0,-21,0,0,0,0,21,12,0,0,0,-21,21,0,0
44333,0,-28,-1,28,28,0,28,18,28,0,0,-28,0,0,0,0,28,0,0,0,0,-28,28,0,0
44334,2,-53,0,29,73,0,71,0,73,2,0,-69,0,2,0,0,73,43,0,0,0,-73,73,0,0
44335,0,49,0,21,49,0,49,40,34,0,0,-49,0,0,0,0,49,49,0,0,0,-49,49,0,0
44336,-28,33,-34,11,39,0,54,0,6,6,0,-61,34,2,34,0,73,-15,0,-34,0,-73,73,0,0
44337,4,-31,-76,0,1,3,73,24,-39,-2,3,-77,76,3,73,0,77,-39,0,-70,3,-77,77,0,0
44338,0,78,-78,72,0,23,0,78,20,-78,78,-78,59,78,0,0,78,78,0,78,24,-78,78,0,0
44339,1,44,-37,-36,9,23,1,36,35,-27,36,-46,1,36,1,0,46,14,0,35,0,-46,46,0,0
44340,0,39,-39,-39,0,0,0,0,-11,25,39,-39,0,39,0,0,39,-39,0,39,0,-39,39,0,0
44341,54,89,-89,51,0,17,0,0,-75,89,89,-89,0,-5,0,0,89,-89,0,89,-31,-89,-29,0,0
44342,91,91,-91,13,0,74,0,-2,11,91,91,-91,-11,-91,0,0,91,-91,-45,47,0,-91,-21,0,0
44343,130,128,-130,77,0,125,1,-26,43,40,74,-130,91,-129,1,0,130,-2,-129,-1,0,-130,79,0,0
44344,-43,47,-171,27,0,112,4,72,21,0,0,-171,141,-167,4,0,171,145,-167,-171,0,-171,171,0,0
44345,-46,-4,-54,31,0,50,4,43,-4,0,0,-54,-12,-49,4,0,54,4,-49,-54,0,-54,54,0,0
44346,-33,-2,-37,30,0,35,2,0,-7,0,0,-37,5,0,2,0,37,2,0,-37,0,-37,37,0,0
44347,-28,0,-28,28,0,28,0,12,0,0,0,-28,0,0,25,0,28,0,0,-28,0,-28,28,0,0
44348,-34,0,-34,34,0,27,9,0,0,0,0,-34,13,0,34,0,34,0,0,-34,0,-34,34,0,0
44357,210,89,-210,61,0,210,210,42,65,210,210,-210,141,41,0,0,210,124,210,0,0,-210,210,0,0
44358,367,-82,-367,97,0,367,-91,84,69,363,367,-367,60,242,0,0,367,101,205,74,46,-367,367,0,0
44359,77,0,-230,-26,0,230,0,-2,-49,-230,230,-230,-83,186,0,0,230,34,0,230,230,-230,230,0,0
44360,0,11,-14,0,0,14,0,14,0,-14,14,-14,14,14,0,0,14,1,0,14,14,-14,14,0,0
44362,29,92,-92,30,0,92,92,54,0,92,92,-92,73,11,0,0,92,-92,92,0,0,-92,92,0,0
44363,120,194,-194,167,0,194,153,96,136,194,194,-194,-74,0,0,0,194,28,194,74,-50,-194,194,0,0
44364,3,38,-169,12,0,169,3,123,6,169,169,-169,-36,0,0,0,169,-103,169,121,0,-169,169,0,0
44365,74,172,-172,137,0,-132,72,37,145,33,172,-172,86,-3,0,0,172,154,172,152,-84,-172,172,0,0
44366,16,115,-115,43,0,-103,115,66,109,115,115,-115,2,-68,0,0,89,-50,115,109,-109,-115,115,0,0
44367,4,59,-59,16,0,21,59,21,55,59,59,-59,-39,-55,0,0,59,-51,59,55,-55,-59,59,0,0
44368,0,37,-60,20,0,37,37,42,59,60,60,-60,-15,-37,-23,0,60,-36,60,59,-36,-60,60,0,0
44369,0,12,-150,121,0,12,78,85,142,150,-4,-150,102,-33,-138,0,150,96,150,142,-4,-150,150,0,0
44370,56,8,-179,0,0,8,8,61,167,139,44,-179,-7,68,-171,0,179,163,179,179,-8,-179,179,0,0
44371,60,112,-165,0,0,14,157,46,-57,140,14,-165,125,109,-151,0,165,137,165,165,127,-165,165,0,0
44372,88,134,-134,20,0,0,134,-10,81,32,0,-134,134,5,-134,0,134,134,134,134,134,-134,134,0,0
44373,128,128,-128,-55,0,-6,128,43,-55,64,52,-128,128,0,-23,0,128,128,128,128,128,-128,128,0,0
44375,0,0,-5,0,0,5,5,0,0,0,5,-5,0,0,5,0,5,5,5,5,5,-5,5,0,0
44376,66,0,-223,124,0,57,97,-122,193,0,223,-223,194,0,33,0,223,128,223,223,49,-223,223,0,0
44377,50,0,-50,50,0,0,0,6,50,37,50,-50,27,29,-50,0,50,0,50,50,0,-50,50,0,0
44378,73,0,-150,150,0,0,97,108,150,-11,150,-150,0,150,-150,0,150,0,150,150,0,-150,150,0,0
44379,0,0,-106,106,0,15,39,37,45,-106,106,-106,64,106,-106,0,106,0,106,106,11,-106,106,0,0
44380,0,0,-89,89,0,74,0,-22,0,59,89,-89,89,74,-89,0,89,0,89,89,0,-89,89,0,0
44381,0,0,-41,-5,0,17,24,-9,24,17,41,-41,17,24,7,0,41,0,41,41,0,-41,41,0,0
44382,0,0,-30,30,0,27,27,27,27,3,30,-30,3,27,24,0,30,0,30,30,0,-30,30,0,0
44383,0,0,-88,88,0,76,76,39,81,12,88,-88,12,76,64,0,88,0,88,88,72,-88,88,0,0
44384,0,0,-31,31,0,31,31,0,26,0,31,-31,0,31,31,0,31,14,31,31,31,-31,31,0,0
44385,38,0,-92,72,0,92,8,0,56,56,36,-92,0,72,92,0,92,36,92,36,92,-92,92,0,56
44386,77,0,-77,72,0,41,77,-45,77,43,0,-77,0,77,77,0,77,0,77,0,5,-77,77,0,3
44387,50,0,-53,1,0,3,53,-16,50,0,3,-53,0,50,53,0,53,3,53,3,3,-53,53,0,0
44388,30,0,-30,30,0,0,30,0,30,0,0,-30,0,30,30,0,30,0,30,0,0,-30,30,0,0
44389,34,0,-34,34,0,25,34,0,31,0,0,-34,0,34,34,0,34,0,34,0,0,-34,34,0,0
44390,76,0,-76,76,0,4,76,-16,0,0,0,-76,0,76,76,0,76,0,76,21,0,-76,76,0,0
44391,75,0,-75,63,0,34,75,0,0,0,0,-75,0,75,75,0,75,0,75,75,0,-75,75,0,0
44392,42,0,-120,-33,0,27,120,22,8,0,3,-120,0,117,120,0,120,3,120,120,3,-120,120,0,0
44393,0,0,-83,16,0,11,83,28,13,0,11,-83,0,72,83,0,83,11,83,83,11,-83,83,0,0
44394,0,0,-61,61,0,-11,61,61,-35,0,0,-61,0,61,61,0,61,0,61,61,0,-61,61,0,0
44395,0,0,-22,22,0,0,22,22,0,0,0,-22,0,22,22,0,22,0,22,22,0,-22,22,0,0
44396,0,0,-39,34,0,0,39,33,13,0,0,-39,0,39,39,0,39,0,39,39,0,-39,39,0,0
44397,0,0,-63,-63,0,0,63,-9,63,0,25,-63,0,63,63,0,63,0,63,63,0,-63,63,0,0
44410,25,0,-25,25,0,0,14,0,25,4,25,-25,0,25,25,0,25,0,25,0,25,-25,0,0,25
44411,55,0,-55,55,0,0,46,0,55,55,30,-55,0,55,55,0,55,0,55,0,55,-55,0,0,55
