REAL,REAL_vol,REAL_high,REAL_low,positive,neutral,negative
-0.0582769908353831,3605900,25.11000061035156,23.10000038146973,3771.0,8348.0,3575.0
0.01579381418127202,3064400,24.45999908447266,22.59499931335449,335.0,362.0,187.0
0.001245358507907212,2041600,24.95999908447266,23.94000053405762,704.0,510.0,288.0
0.012704896343807896,1668600,24.86000061035156,23.98999977111816,980.0,966.0,697.0
0.02321857223117216,1375700,25,24.10000038146973,553.0,877.0,241.0
-0.03823774300561556,2358800,25.48999977111816,23.92000007629395,644.0,1350.0,604.0
0.009876534100961672,1772000,24.60000038146973,23.29999923706055,107.0,110.0,70.0
0.029552781605847053,2455300,25.5,24.26000022888184,14.0,98.0,36.0
0.01144883573044563,1713500,26.10000038146973,24.84000015258789,48.0,115.0,59.0
0.04270594103798433,2384700,26.5,25.29999923706055,54.0,103.0,12.0
0.03536278563292948,1856400,27.68000030517578,26,97.0,34.0,48.0
0.03956579768546967,2137000,29.51000022888184,27.05999946594238,71.0,19.0,0.0
0.005917162513143558,1372500,28.85000038146973,27.20999908447266,37.0,38.0,96.0
-0.03531529881932727,1556800,28.42000007629395,27.15999984741211,67.0,53.0,125.0
0.016654830786337827,1694100,29.43000030517578,27.98999977111816,144.0,175.0,28.0
0.013631642386472426,4033700,30.21999931335449,25.25,27.0,86.0,26.0
-0.15246726006400088,7150600,26.45999908447266,23.3799991607666,71.0,117.0,80.0
0.047024894817591104,3301100,27.61499977111816,24.38999938964844,153.0,83.0,4.0
-0.07689122207269891,2061700,26.04999923706055,24.1200008392334,144.0,350.0,51.0
0.05285827459187643,1337400,26.04999923706055,23.89999961853027,230.0,281.0,54.0
0.09368344077567509,1835800,28.21500015258789,25.76000022888184,65.0,65.0,3.0
-0.058205076727631394,1685900,28.13999938964844,26.03000068664551,118.0,195.0,46.0
-0.10958329836527507,4229600,25.78000068664551,23.94000053405762,261.0,230.0,98.0
-0.07913670175336301,6834500,24.10000038146973,21.10000038146973,160.0,182.0,133.0
-0.010449774640824961,3663000,22.68000030517578,19.6299991607666,202.0,165.0,60.0
-0.044117661695526514,2658500,23.1200008392334,21.02000045776367,58.0,61.0,7.0
0.06186023284933194,2690600,22.90999984741211,20.78000068664551,201.0,144.0,9.0
-0.026965273090404245,2382500,23.32999992370605,21.69000053405762,175.0,343.0,65.0
0.049934932331363986,2083800,23.30999946594238,22.3799991607666,164.0,277.0,113.0
0.008182542305231836,1711600,23.36000061035156,21.95999908447266,71.0,184.0,57.0
0.048360669000980024,2097400,24.40999984741211,22.85000038146973,59.0,35.0,0.0
-0.007016099030361264,2222300,24.76300048828125,23.77000045776367,101.0,90.0,45.0
0.03619728995645114,1767400,25.59000015258789,23.45999908447266,63.0,158.0,14.0
-0.07619857588993846,2010700,25.38999938964844,23.34000015258789,71.0,110.0,34.0
-0.001715305147976406,1852700,23.93000030517578,22.79000091552734,31.0,115.0,72.0
-0.0012880540196492005,1263700,23.94000053405762,22.68000030517578,13.0,32.0,15.0
-0.03235822104902994,1253000,23.81999969482422,22.29000091552734,49.0,44.0,20.0
-0.07224327396741191,1707500,22.85000038146973,21.01000022888184,26.0,95.0,22.0
0.036630001440991565,1720800,22.04999923706055,20.11000061035156,106.0,97.0,66.0
0.02062776234127325,1502000,22.5,21.01000022888184,72.0,89.0,24.0
-0.08780484083222197,2202300,22.43000030517578,20.43000030517578,28.0,37.0,1.0
0.04250349621193966,1422300,21.57999992370605,20.42200088500977,59.0,18.0,24.0
0.05391070961547328,2342900,22.75,21.70999908447266,23.0,57.0,4.0
0.003083770917185794,2238600,23.46999931335449,22.45999908447266,48.0,71.0,19.0
-0.018393891008165065,2968200,23.14999961853027,21.20000076293945,1.0,28.0,9.0
0.031711534653342296,2473100,23.63999938964844,22.30999946594238,20.0,53.0,5.0
-0.014543848212375258,1080100,23.36000061035156,22.30999946594238,50.0,12.0,4.0
0.025552901750206226,1077200,23.46999931335449,22.65999984741211,32.0,31.0,8.0
0.02122745055405294,2489600,23.84000015258789,22.77000045776367,44.0,17.0,46.0
-0.0054945506742870975,890500,23.8700008392334,22.8799991607666,29.0,14.0,4.0
0.006717038180603978,1069700,24.10000038146973,23.18000030517578,25.0,59.0,21.0
-0.020128449921888406,1020000,24.32999992370605,23.14999961853027,14.0,65.0,43.0
0.013102259845377238,969500,24,23.1299991607666,11.0,40.0,32.0
0.011695934853768096,1161900,24,22.70000076293945,33.0,30.0,17.0
-0.03546711354061575,1162900,24.27000045776367,22.8700008392334,0.0,0.0,23.0
-0.03677137355278832,1281300,23.01000022888184,21.6200008392334,25.0,0.0,42.0
0.024923549683260722,1156800,23.0049991607666,21.90999984741211,63.0,6.0,0.0
0.0034858353397198187,1368400,23.67000007629395,22.84000015258789,0.0,50.0,8.0
0.03205391610626093,1860300,23.8799991607666,22.90999984741211,0.0,32.0,14.0
0.004617993776694324,1640400,24.04999923706055,23.56999969482422,0.0,0.0,25.0
-0.012755069354665948,1540700,24.20000076293945,23.09000015258789,27.0,63.0,22.0
0.08124999580904874,3415400,25.73999977111816,22.81999969482422,0.0,84.0,0.0
-0.005893894461045027,1384000,25.90999984741211,24.64999961853027,24.0,45.0,24.0
-0.027452575398021383,2071900,25.5,24.29000091552734,32.0,0.0,16.0
-0.013295183759329829,1561800,25.5,24.42000007629395,,,
-0.0034892890945388655,1489900,24.69000053405762,23.61000061035156,,,
-0.009950238920712591,1366600,25.11000061035156,24.05999946594238,0.0,42.0,0.0
-0.04732957534039282,2045900,23.97999954223633,22.13999938964844,80.0,81.0,0.0
-0.010087783214093364,2207400,24.21999931335449,22.61000061035156,127.0,28.0,25.0
-0.12259969653340588,4431200,22.80999946594238,20.2450008392334,4.0,57.0,0.0
-0.23615332250141954,11362000,17.94000053405762,15.01000022888184,118.0,1.0,0.0
-0.1354526608139052,8550100,17.26899909973145,14.27999973297119,24.0,57.0,11.0
-0.05312958574025089,7859200,15.27999973297119,13.02000045776367,75.0,7.0,23.0
0.04979254945569678,4004600,14.61999988555908,13.60000038146973,110.0,4.0,0.0
0.006185577416363134,3350700,14.63000011444092,13.61999988555908,28.0,0.0,0.0
0.05026106523680291,4488600,15.69999980926514,14.63000011444092,73.0,0.0,0.0
0.007129008955019967,2162500,15.51000022888184,14.5,34.0,15.0,0.0
0.007078485003041982,2679100,15.97999954223633,15.14000034332275,6.0,67.0,0.0
-0.032558123914166126,2230300,15.73999977111816,14.98999977111816,0.0,38.0,39.0
0.05524168848603229,2509700,16.10499954223633,15.05000019073486,14.0,0.0,25.0
0.0357142939612096,2579900,16.70499992370605,16.06999969482422,7.0,0.0,82.0
0.05761552705763833,2285100,17.57500076293945,16.59000015258789,11.0,80.0,0.0
0.017927153388546353,3015500,18.03800010681152,17.11000061035156,44.0,85.0,1.0
-0.021751636121975088,2967600,18.19000053405762,17.32999992370605,25.0,142.0,4.0
0.003422782141516528,1643300,17.97999954223633,17.20000076293945,0.0,34.0,0.0
0.030956299680421382,3063700,18.10000038146973,16.8799991607666,,,
-0.049912979291927305,2821600,18.72999954223633,17.07999992370605,,,
-0.0029103164244698686,1850200,17.53000068664551,16.78000068664551,,,
0.035373339677596836,2362100,17.82999992370605,16.95499992370605,,,
0.0372973261652768,2341000,18.55999946594238,17.69000053405762,,,
0.0196078867396823,3333500,19.31999969482422,18.59000015258789,,,
0.028821382251507717,4553000,20.11000061035156,18.91500091552734,65.0,145.0,0.0
0.04473942185769004,3430800,20.5049991607666,19.51000022888184,69.0,298.0,0.0
0.0024521450984414423,1676100,20.86000061035156,20.01000022888184,,,
-0.0537467177093522,2128400,20.38999938964844,18.97999954223633,0.0,92.0,0.0
0.02567976904371308,2877000,20.03000068664551,19.21999931335449,136.0,58.0,0.0
0.01731808461040479,2953900,20.79999923706055,19.57999992370605,55.0,65.0,49.0
-0.027975546354490337,2388500,20.29999923706055,19.31999969482422,145.0,27.0,0.0
0.04609416471643883,1625400,20.67000007629395,19.21999931335449,59.0,1.0,0.0
0.033755242190802295,2299000,21.6200008392334,20.35000038146973,142.0,8.0,0.0
0.0413483180356831,1938000,22.59000015258789,21.25,173.0,0.0,6.0
0.010671399446894178,2116600,22.72999954223633,21.89999961853027,14.0,80.0,71.0
-0.06235237081091653,3897700,22.82999992370605,21.01000022888184,86.0,43.0,5.0
0.000943863013666571,1499200,21.77000045776367,20.90999984741211,0.0,5.0,0.0
-0.02864078357583974,1772200,21.375,20.3799991607666,193.0,30.0,0.0
-0.04251012868715052,2626500,20.57999992370605,19.71999931335449,50.0,0.0,0.0
0.03137251968706358,1592000,20.61000061035156,19.69000053405762,150.0,0.0,0.0
-0.005917106894566254,1230200,20.60000038146973,19.76000022888184,45.0,61.0,0.0
-0.09680913670552753,2859200,20.3700008392334,18.45999908447266,81.0,7.0,0.0
-0.07750582374898027,3748200,18.64999961853027,16.85000038146973,26.0,5.0,0.0
0.05088496018673431,3834700,18.36000061035156,17.09000015258789,56.0,36.0,0.0
