,neg,neu,pos,compound,label
180,0,0.427,0.573,0.7717,Positive
181,0,1,0,0,Neutral
182,0,1,0,0,Neutral
183,0,1,0,0,Neutral
184,0.122,0.702,0.176,0.1926,Positive
185,0.403,0.597,0,-0.4019,Negative
186,0.381,0.619,0,-0.5719,Negative
187,0,0.821,0.179,0.1877,Positive
188,0,0.69,0.31,0.4019,Positive
189,0.222,0.778,0,-0.4329,Negative
190,0,0.578,0.422,0.5248,Positive
191,0.113,0.887,0,-0.5319,Negative
192,0,1,0,0,Neutral
193,0.162,0.838,0,-0.4767,Negative
194,0,0.881,0.119,0.4019,Positive
195,0,1,0,0,Neutral
196,0,1,0,0,Neutral
197,0,0.444,0.556,0.3612,Positive
198,0.096,0.766,0.138,0.2232,Positive
199,0,1,0,0,Neutral
200,0,0.545,0.455,0.3612,Positive
201,0.236,0.646,0.118,-0.4812,Negative
202,0.231,0.769,0,-0.5574,Negative
203,0.071,0.929,0,-0.0572,Negative
204,0,0.823,0.177,0.4199,Positive
205,0,0.847,0.153,0.4019,Positive
206,0,1,0,0,Neutral
207,0,0.849,0.151,0.6249,Positive
208,0,1,0,0,Neutral
209,0,1,0,0,Neutral
210,0.137,0.863,0,-0.5423,Negative
211,0.311,0.689,0,-0.7762,Negative
212,0,0.905,0.095,0.296,Positive
213,0,1,0,0,Neutral
214,0,1,0,0,Neutral
215,0,1,0,0,Neutral
216,0,1,0,0,Neutral
217,0,1,0,0,Neutral
218,0,1,0,0,Neutral
219,0.351,0.649,0,-0.4019,Negative
220,0,1,0,0,Neutral
221,0,0.835,0.165,0.4168,Positive
222,0.167,0.833,0,-0.34,Negative
223,0.045,0.955,0,-0.2031,Negative
224,0,1,0,0,Neutral
225,0.167,0.833,0,-0.0516,Negative
226,0,1,0,0,Neutral
227,0.423,0.577,0,-0.296,Negative
228,0.531,0.469,0,-0.5267,Negative
229,0.341,0.659,0,-0.4767,Negative
230,0,0.796,0.204,0.7717,Positive
231,0,1,0,0,Neutral
232,0,0.883,0.117,0.3382,Positive
233,0.301,0.627,0.072,-0.5789,Negative
234,0,1,0,0,Neutral
235,0,1,0,0,Neutral
236,0.245,0.577,0.177,-0.4143,Negative
237,0,0.408,0.592,0.4404,Positive
238,0,1,0,0,Neutral
239,0,1,0,0,Neutral
240,0,0.761,0.239,0.296,Positive
241,0.095,0.744,0.16,0.6969,Positive
242,0.138,0.656,0.206,0.2323,Positive
243,0,0.541,0.459,0.5267,Positive
244,0.386,0.614,0,-0.6597,Negative
245,0,0.756,0.244,0.4404,Positive
246,0,1,0,0,Neutral
247,0.105,0.666,0.23,0.5622,Positive
248,0,1,0,0,Neutral
249,0,1,0,0,Neutral
250,0,0.741,0.259,0.4215,Positive
251,0,1,0,0,Neutral
252,0.574,0.426,0,-0.4019,Negative
253,0,1,0,0,Neutral
254,0,1,0,0,Neutral
255,0.165,0.835,0,-0.5499,Negative
256,0,1,0,0,Neutral
257,0,1,0,0,Neutral
258,0.278,0.722,0,-0.6408,Negative
259,0,1,0,0,Neutral
260,0,1,0,0,Neutral
261,0.577,0.423,0,-0.6229,Negative
262,0,1,0,0,Neutral
263,0,1,0,0,Neutral
264,0,0.669,0.331,0.3566,Positive
265,0.169,0.718,0.112,-0.4249,Negative
266,0,1,0,0,Neutral
267,0,1,0,0,Neutral
268,0,1,0,0,Neutral
269,0.077,0.811,0.112,0.3331,Positive
270,0.231,0.769,0,-0.4588,Negative
271,0,1,0,0,Neutral
272,0,1,0,0,Neutral
273,0,0.826,0.174,0.4494,Positive
274,0,1,0,0,Neutral
275,0,0.758,0.242,0.1531,Positive
276,0.066,0.807,0.127,0.4388,Positive
277,0,1,0,0,Neutral
278,0,1,0,0,Neutral
279,0,1,0,0,Neutral
280,0,1,0,0,Neutral
281,0,1,0,0,Neutral
282,0.143,0.857,0,-0.3252,Negative
283,0,0.417,0.583,0.6369,Positive
284,0.222,0.593,0.185,-0.1298,Negative
285,0.236,0.764,0,-0.7326,Negative
286,0,1,0,0,Neutral
287,0,1,0,0,Neutral
288,0,1,0,0,Neutral
289,0.164,0.697,0.139,0.099,Positive
290,0,0.638,0.362,0.1779,Positive
291,0,1,0,0,Neutral
292,0,0.861,0.139,0.3802,Positive
293,0,1,0,0,Neutral
294,0.076,0.764,0.161,0.4792,Positive
295,0,1,0,0,Neutral
296,0.34,0.66,0,-0.5574,Negative
297,0.095,0.905,0,-0.296,Negative
298,0,1,0,0,Neutral
299,0.273,0.625,0.102,-0.4939,Negative
300,0.278,0.722,0,-0.6418,Negative
301,0.329,0.671,0,-0.2411,Negative
302,0,1,0,0,Neutral
303,0,1,0,0,Neutral
304,0,0.704,0.296,0.2732,Positive
305,0,1,0,0,Neutral
306,0,1,0,0,Neutral
307,0,0,1,0.5859,Positive
308,0,1,0,0,Neutral
309,0,0.776,0.224,0.5374,Positive
310,0.362,0.638,0,-0.7783,Negative
311,0,1,0,0,Neutral
312,0,1,0,0,Neutral
313,0,1,0,0,Neutral
314,0,1,0,0,Neutral
315,0,1,0,0,Neutral
316,0.467,0.533,0,-0.5423,Negative
317,0,1,0,0,Neutral
318,0.326,0.674,0,-0.4404,Negative
319,0.079,0.852,0.069,-0.0772,Negative
320,0.161,0.839,0,-0.3182,Negative
321,0,1,0,0,Neutral
322,0.615,0.385,0,-0.4939,Negative
323,0.136,0.711,0.153,0.3919,Positive
324,0,1,0,0,Neutral
325,0.117,0.65,0.233,0.4968,Positive
326,0,1,0,0,Neutral
327,0,1,0,0,Neutral
328,0,1,0,0,Neutral
329,0,0.783,0.217,0.3612,Positive
330,0,1,0,0,Neutral
331,0.231,0.769,0,-0.5106,Negative
332,0,1,0,0,Neutral
333,0.119,0.739,0.142,0.1027,Positive
334,0,1,0,0,Neutral
335,0,1,0,0,Neutral
336,0,1,0,0,Neutral
337,0.306,0.694,0,-0.6093,Negative
338,0,1,0,0,Neutral
339,0,1,0,0,Neutral
340,0.275,0.725,0,-0.2263,Negative
341,0,0.879,0.121,0.296,Positive
342,0,1,0,0,Neutral
343,0.114,0.786,0.1,-0.0772,Negative
344,0,1,0,0,Neutral
345,0,1,0,0,Neutral
346,0,0.69,0.31,0.4019,Positive
347,0,0.764,0.236,0.5267,Positive
348,0,1,0,0,Neutral
349,0,1,0,0,Neutral
350,0,1,0,0,Neutral
351,0.327,0.385,0.288,-0.2023,Negative
352,0,1,0,0,Neutral
353,0,1,0,0,Neutral
354,0,0.735,0.265,0.2023,Positive
355,0,1,0,0,Neutral
356,0,1,0,0,Neutral
357,0,1,0,0,Neutral
358,0,1,0,0,Neutral
359,0,1,0,0,Neutral
360,0,1,0,0,Neutral
361,0,1,0,0,Neutral
362,0,1,0,0,Neutral
363,0.262,0.738,0,-0.7506,Negative
364,0,1,0,0,Neutral
365,0,1,0,0,Neutral
366,0,1,0,0,Neutral
367,0,1,0,0,Neutral
368,0.15,0.85,0,-0.4019,Negative
369,0,0.776,0.224,0.6705,Positive
370,0,1,0,0,Neutral
371,0,1,0,0,Neutral
372,0,1,0,0,Neutral
373,0,1,0,0,Neutral
374,0,1,0,0,Neutral
375,0,0.233,0.767,0.5106,Positive
376,0.072,0.928,0,-0.4019,Negative
377,0,1,0,0,Neutral
378,0,1,0,0,Neutral
379,0,0.822,0.178,0.5994,Positive
380,0,1,0,0,Neutral
381,0.278,0.722,0,-0.4019,Negative
382,0,1,0,0,Neutral
383,0,1,0,0,Neutral
384,0,1,0,0,Neutral
385,0,1,0,0,Neutral
386,0,1,0,0,Neutral
387,0.437,0.563,0,-0.7351,Negative
388,0,0.909,0.091,0.4215,Positive
389,0,0.813,0.187,0.3182,Positive
390,0.13,0.87,0,-0.4019,Negative
391,0,1,0,0,Neutral
392,0.17,0.754,0.075,-0.4404,Negative
393,0,1,0,0,Neutral
394,0,1,0,0,Neutral
395,0,1,0,0,Neutral
396,0,0.526,0.474,0.4019,Positive
397,0,1,0,0,Neutral
398,0,1,0,0,Neutral
399,0.378,0.488,0.134,-0.6124,Negative
400,0,1,0,0,Neutral
401,0,1,0,0,Neutral
402,0,1,0,0,Neutral
403,0,1,0,0,Neutral
404,0,1,0,0,Neutral
405,0,1,0,0,Neutral
406,0.771,0.229,0,-0.5216,Negative
407,0,1,0,0,Neutral
408,0,1,0,0,Neutral
409,0,1,0,0,Neutral
410,0,1,0,0,Neutral
411,0.155,0.845,0,-0.296,Negative
412,0.143,0.857,0,-0.4871,Negative
413,0.157,0.843,0,-0.3818,Negative
414,0.322,0.678,0,-0.8748,Negative
415,0,1,0,0,Neutral
416,0.151,0.849,0,-0.4926,Negative
417,0,1,0,0,Neutral
418,0.266,0.363,0.371,0.2197,Positive
419,0.356,0.366,0.278,-0.2165,Negative
420,0,1,0,0,Neutral
421,0,1,0,0,Neutral
422,0.18,0.442,0.378,0.8743,Positive
423,0,1,0,0,Neutral
424,0,1,0,0,Neutral
425,0.42,0.58,0,-0.4389,Negative
426,0,1,0,0,Neutral
427,0.324,0.676,0,-0.34,Negative
428,0.303,0.275,0.422,0.2197,Positive
429,0,0.597,0.403,0.4019,Positive
430,0.275,0.268,0.456,0.3291,Positive
431,0,1,0,0,Neutral
432,0,1,0,0,Neutral
433,0,1,0,0,Neutral
434,0,1,0,0,Neutral
435,0,1,0,0,Neutral
436,0,1,0,0,Neutral
437,0,1,0,0,Neutral
438,0,1,0,0,Neutral
439,0.126,0.836,0.038,-0.7206,Negative
440,0.5,0,0.5,0,Neutral
441,0,1,0,0,Neutral
442,0.427,0.573,0,-0.5766,Negative
443,0,1,0,0,Neutral
444,0,1,0,0,Neutral
445,0,1,0,0,Neutral
446,0,1,0,0,Neutral
447,0,1,0,0,Neutral
448,0,1,0,0,Neutral
449,0.062,0.639,0.299,0.8459,Positive
450,0,0.674,0.326,0.5951,Positive
451,0,0.66,0.34,0.4798,Positive
452,0,1,0,0,Neutral
453,0,0.748,0.252,0.5216,Positive
454,0,1,0,0,Neutral
455,0,1,0,0,Neutral
456,0.163,0.514,0.323,0.4359,Positive
457,0.359,0.641,0,-0.6808,Negative
458,0.431,0.569,0,-0.6486,Negative
459,0,1,0,0,Neutral
460,0,0.638,0.362,0.7783,Positive
461,0.256,0.744,0,-0.5837,Negative
462,0,1,0,0,Neutral
463,0,1,0,0,Neutral
464,0,1,0,0,Neutral
465,0,1,0,0,Neutral
466,0.076,0.799,0.125,0.3597,Positive
467,0,0.417,0.583,0.7906,Positive
468,0,1,0,0,Neutral
469,0,0.859,0.141,0.3541,Positive
470,0.116,0.884,0,-0.5267,Negative
471,0,1,0,0,Neutral
472,0,1,0,0,Neutral
473,0,1,0,0,Neutral
474,0.093,0.907,0,-0.2116,Negative
475,0,0.74,0.26,0.2755,Positive
476,0.27,0.73,0,-0.5859,Negative
477,0.268,0.732,0,-0.296,Negative
478,0,0.674,0.326,0.4404,Positive
479,0,1,0,0,Neutral
480,0,1,0,0,Neutral
481,0.212,0.788,0,-0.2235,Negative
482,0,1,0,0,Neutral
483,0.202,0.798,0,-0.5093,Negative
484,0.231,0.769,0,-0.4019,Negative
485,0.178,0.822,0,-0.3818,Negative
486,0,1,0,0,Neutral
487,0,1,0,0,Neutral
488,0.16,0.84,0,-0.2263,Negative
489,0,1,0,0,Neutral
490,0,1,0,0,Neutral
491,0,1,0,0,Neutral
492,0,0.741,0.259,0.4215,Positive
493,0.259,0.741,0,-0.4843,Negative
494,0,1,0,0,Neutral
495,0,0.834,0.166,0.3802,Positive
496,0,1,0,0,Neutral
497,0,0.769,0.231,0.4019,Positive
498,0,1,0,0,Neutral
499,0,1,0,0,Neutral
500,0,1,0,0,Neutral
501,0.636,0.364,0,-0.5423,Negative
502,0.258,0.742,0,-0.6738,Negative
503,0.079,0.794,0.127,0.453,Positive
504,0,0.417,0.583,0.4215,Positive
505,0.222,0.57,0.209,-0.0516,Negative
506,0,1,0,0,Neutral
507,0.667,0.333,0,-0.25,Negative
508,0,1,0,0,Neutral
509,0.224,0.776,0,-0.3818,Negative
510,0,1,0,0,Neutral
511,0,1,0,0,Neutral
512,0,1,0,0,Neutral
513,0.114,0.886,0,-0.6973,Negative
514,0.197,0.803,0,-0.4003,Negative
515,0.322,0.507,0.171,-0.5093,Negative
516,0.155,0.845,0,-0.296,Negative
517,0,0.646,0.354,0.508,Positive
518,0.647,0.353,0,-0.5661,Negative
519,0.123,0.668,0.208,0.4915,Positive
520,0,1,0,0,Neutral
521,0.394,0.606,0,-0.3818,Negative
522,0,1,0,0,Neutral
523,0.461,0.539,0,-0.7303,Negative
524,0.12,0.88,0,-0.3818,Negative
525,0,1,0,0,Neutral
526,0,1,0,0,Neutral
527,0.347,0.278,0.375,0.0516,Positive
528,0.412,0.588,0,-0.5423,Negative
529,0.151,0.745,0.104,0.0165,Neutral
530,0,1,0,0,Neutral
531,0.104,0.896,0,-0.1027,Negative
532,0,1,0,0,Neutral
533,0,1,0,0,Neutral
534,0,1,0,0,Neutral
535,0,1,0,0,Neutral
536,0,1,0,0,Neutral
537,0,1,0,0,Neutral
538,0,1,0,0,Neutral
539,0,1,0,0,Neutral
540,0,1,0,0,Neutral
541,0,1,0,0,Neutral
542,0,1,0,0,Neutral
543,0,1,0,0,Neutral
544,0,1,0,0,Neutral
545,0.677,0.323,0,-0.6369,Negative
546,0.095,0.694,0.211,0.3249,Positive
547,0.151,0.849,0,-0.1531,Negative
548,0,1,0,0,Neutral
549,0.494,0.506,0,-0.5994,Negative
550,0,1,0,0,Neutral
551,0.194,0.806,0,-0.5574,Negative
552,0.253,0.747,0,-0.2584,Negative
553,0,1,0,0,Neutral
554,0,1,0,0,Neutral
555,0,0.87,0.13,0.0516,Positive
556,0,0.667,0.333,0.5423,Positive
557,0,1,0,0,Neutral
558,0.039,0.812,0.149,0.7163,Positive
559,0,1,0,0,Neutral
560,0.217,0.783,0,-0.5574,Negative
561,0.343,0.296,0.361,-0.1779,Negative
562,0,1,0,0,Neutral
563,0,1,0,0,Neutral
564,0,1,0,0,Neutral
565,0,1,0,0,Neutral
566,0.263,0.737,0,-0.3612,Negative
567,0,0.873,0.127,0.4404,Positive
568,0,1,0,0,Neutral
569,0,1,0,0,Neutral
570,0.51,0.49,0,-0.4874,Negative
571,0,0.552,0.448,0.743,Positive
572,0,1,0,0,Neutral
573,0,1,0,0,Neutral
574,0,1,0,0,Neutral
575,0.42,0.58,0,-0.4404,Negative
576,0,0.326,0.674,0.7345,Positive
