,neg,neu,pos,compound,label
4413,0,1,0,0,Neutral
4414,0,0.911,0.089,0.4199,Positive
4415,0.256,0.744,0,-0.4767,Negative
4416,0.351,0.649,0,-0.4019,Negative
4417,0,0.837,0.163,0.572,Positive
4418,0,0.803,0.197,0.4019,Positive
4419,0,0.881,0.119,0.2263,Positive
4420,0,1,0,0,Neutral
4421,0,1,0,0,Neutral
4422,0.387,0.613,0,-0.5848,Negative
4423,0,1,0,0,Neutral
4424,0,1,0,0,Neutral
4425,0.438,0.562,0,-0.5994,Negative
4426,0,0.613,0.387,0.743,Positive
4427,0,1,0,0,Neutral
4428,0,1,0,0,Neutral
4429,0,1,0,0,Neutral
4430,0,0.752,0.248,0.4545,Positive
4431,0,1,0,0,Neutral
4432,0.325,0.675,0,-0.3412,Negative
4433,0,1,0,0,Neutral
4434,0,1,0,0,Neutral
4435,0,1,0,0,Neutral
4436,1,0,0,-0.4019,Negative
4437,0,1,0,0,Neutral
4438,0,1,0,0,Neutral
4439,0,1,0,0,Neutral
4440,0,1,0,0,Neutral
4441,0.419,0.581,0,-0.5574,Negative
4442,0,1,0,0,Neutral
4443,0.272,0.614,0.114,-0.4215,Negative
4444,0,0.762,0.238,0.3612,Positive
4445,0,0.737,0.263,0.3595,Positive
4446,0.697,0.303,0,-0.3182,Negative
4447,0,1,0,0,Neutral
4448,0,1,0,0,Neutral
4449,0,1,0,0,Neutral
4450,0.193,0.807,0,-0.5538,Negative
4451,0,1,0,0,Neutral
4452,0,0.852,0.148,0.7311,Positive
4453,0.555,0.445,0,-0.3595,Negative
4454,0,1,0,0,Neutral
4455,0.373,0.627,0,-0.6322,Negative
4456,0.256,0.744,0,-0.4767,Negative
4457,0,1,0,0,Neutral
4458,0,1,0,0,Neutral
4459,0,0.866,0.134,0.6985,Positive
4460,0.315,0.685,0,-0.6808,Negative
4461,0,1,0,0,Neutral
4462,0,0.867,0.133,0.3818,Positive
4463,0.139,0.861,0,-0.2732,Negative
4464,0.423,0.577,0,-0.296,Negative
4465,0.677,0.323,0,-0.6369,Negative
4466,0.334,0.666,0,-0.8602,Negative
4467,0.195,0.805,0,-0.5267,Negative
4468,0,1,0,0,Neutral
4469,0,0.741,0.259,0.8291,Positive
4470,0,1,0,0,Neutral
4471,0,1,0,0,Neutral
4472,0,1,0,0,Neutral
4473,0,1,0,0,Neutral
4474,0,0.581,0.419,0.8957,Positive
4475,0,1,0,0,Neutral
4476,0.203,0.593,0.203,0,Neutral
4477,0,1,0,0,Neutral
4478,0,1,0,0,Neutral
4479,0.18,0.82,0,-0.296,Negative
4480,0,0.702,0.298,0.5256,Positive
4481,0.17,0.702,0.128,-0.168,Negative
4482,0.778,0.222,0,-0.5423,Negative
4483,0.367,0.633,0,-0.4404,Negative
4484,0.3,0.7,0,-0.4588,Negative
4485,0,1,0,0,Neutral
4486,0,1,0,0,Neutral
4487,0.096,0.904,0,-0.2023,Negative
4488,0,1,0,0,Neutral
4489,0,1,0,0,Neutral
4490,0.082,0.861,0.056,-0.1779,Negative
4491,0,1,0,0,Neutral
4492,0,1,0,0,Neutral
4493,0,0.263,0.737,0.6808,Positive
4494,0,1,0,0,Neutral
4495,0,1,0,0,Neutral
4496,0,1,0,0,Neutral
4497,0,1,0,0,Neutral
4498,0.375,0.625,0,-0.34,Negative
4499,0,1,0,0,Neutral
4500,0,0.818,0.182,0.4404,Positive
4501,0,0.773,0.227,0.6124,Positive
4502,0,1,0,0,Neutral
4503,0,1,0,0,Neutral
4504,0,0.756,0.244,0.4404,Positive
4505,0.318,0.682,0,-0.1027,Negative
4506,0,1,0,0,Neutral
4507,0,1,0,0,Neutral
4508,0,1,0,0,Neutral
4509,0,1,0,0,Neutral
4510,0,1,0,0,Neutral
4511,0,1,0,0,Neutral
4512,0,1,0,0,Neutral
4513,0,1,0,0,Neutral
4514,0.487,0.513,0,-0.2263,Negative
4515,0,1,0,0,Neutral
4516,0,1,0,0,Neutral
4517,0,0.572,0.428,0.8668,Positive
4518,0,0.804,0.196,0.3987,Positive
4519,0.429,0.571,0,-0.3089,Negative
4520,0,0.597,0.403,0.4019,Positive
4521,0,1,0,0,Neutral
4522,0,1,0,0,Neutral
4523,0.084,0.8,0.117,0.2168,Positive
4524,0.122,0.711,0.167,0.2244,Positive
4525,0.487,0.513,0,-0.2263,Negative
4526,0,0.426,0.574,0.4019,Positive
4527,0,1,0,0,Neutral
4528,0,1,0,0,Neutral
4529,0.225,0.576,0.199,-0.126,Negative
4530,0.133,0.867,0,-0.3818,Negative
4531,0,0.58,0.42,0.4404,Positive
4532,0,1,0,0,Neutral
4533,0,0.667,0.333,0.3612,Positive
4534,0.064,0.679,0.256,0.8713,Positive
4535,0,1,0,0,Neutral
4536,0,0.316,0.684,0.7568,Positive
4537,0,0.692,0.308,0.652,Positive
4538,0,0.58,0.42,0.4404,Positive
4539,0.224,0.776,0,-0.3818,Negative
4540,0.299,0.167,0.534,0.3415,Positive
4541,0,0.672,0.328,0.5267,Positive
4542,0,1,0,0,Neutral
4543,0,1,0,0,Neutral
4544,0,1,0,0,Neutral
4545,0,1,0,0,Neutral
4546,0,0.678,0.322,0.5859,Positive
4547,0,1,0,0,Neutral
4548,0.613,0.387,0,-0.9022,Negative
4549,0,1,0,0,Neutral
4550,0,1,0,0,Neutral
4551,0,1,0,0,Neutral
4552,0,0.682,0.318,0.4215,Positive
4553,0,1,0,0,Neutral
4554,0,1,0,0,Neutral
4555,0,1,0,0,Neutral
4556,0,1,0,0,Neutral
4557,0.355,0.645,0,-0.296,Negative
4558,0.194,0.806,0,-0.0516,Negative
4559,0.09,0.705,0.205,0.4215,Positive
4560,0.767,0.233,0,-0.5106,Negative
4561,0,1,0,0,Neutral
4562,0,1,0,0,Neutral
4563,0,1,0,0,Neutral
4564,0.661,0.339,0,-0.5984,Negative
4565,0.279,0.721,0,-0.4767,Negative
4566,0,1,0,0,Neutral
4567,0,1,0,0,Neutral
4568,0,1,0,0,Neutral
4569,0,0.81,0.19,0.6093,Positive
4570,0,1,0,0,Neutral
4571,0,1,0,0,Neutral
4572,0,0.811,0.189,0.4215,Positive
4573,0,0.58,0.42,0.4404,Positive
4574,0,0.761,0.239,0.296,Positive
4575,0,1,0,0,Neutral
4576,0,1,0,0,Neutral
4577,0,1,0,0,Neutral
4578,0.31,0.69,0,-0.5574,Negative
4579,0,1,0,0,Neutral
4580,0,1,0,0,Neutral
4581,0.318,0.561,0.121,-0.4767,Negative
4582,0,0.476,0.524,0.5267,Positive
4583,0.302,0.698,0,-0.5994,Negative
4584,0,0.762,0.238,0.3612,Positive
4585,0,1,0,0,Neutral
4586,0,1,0,0,Neutral
4587,0.248,0.752,0,-0.5093,Negative
4588,0,1,0,0,Neutral
4589,0,1,0,0,Neutral
4590,0,1,0,0,Neutral
4591,0.145,0.591,0.263,0.296,Positive
4592,0,1,0,0,Neutral
4593,0,1,0,0,Neutral
4594,0,1,0,0,Neutral
4595,0,1,0,0,Neutral
4596,0,1,0,0,Neutral
4597,0,1,0,0,Neutral
4598,0,1,0,0,Neutral
4599,0,1,0,0,Neutral
4600,0,1,0,0,Neutral
4601,0,1,0,0,Neutral
4602,0,1,0,0,Neutral
4603,0.487,0.513,0,-0.5859,Negative
4604,0,1,0,0,Neutral
4605,0,1,0,0,Neutral
4606,0,1,0,0,Neutral
4607,0,1,0,0,Neutral
4608,0,1,0,0,Neutral
4609,0,1,0,0,Neutral
4610,0.146,0.574,0.28,0.3748,Positive
4611,0.239,0.761,0,-0.296,Negative
4612,0.12,0.88,0,-0.3818,Negative
4613,0.11,0.89,0,-0.5562,Negative
4614,0.261,0.739,0,-0.5983,Negative
4615,0.498,0.502,0,-0.4545,Negative
4616,0,1,0,0,Neutral
4617,0,1,0,0,Neutral
4618,0,1,0,0,Neutral
4619,0,0,1,0.4215,Positive
4620,0,0.612,0.388,0.2263,Positive
4621,0.195,0.805,0,-0.2342,Negative
4622,0,0.921,0.079,0.3612,Positive
4623,0,1,0,0,Neutral
4624,0.248,0.573,0.179,-0.2406,Negative
4625,0,0.924,0.076,0.3182,Positive
4626,0,1,0,0,Neutral
4627,0,0.846,0.154,0.6114,Positive
4628,0,1,0,0,Neutral
4629,0,1,0,0,Neutral
4630,0,1,0,0,Neutral
4631,0,1,0,0,Neutral
4632,0,1,0,0,Neutral
4633,0.152,0.774,0.073,-0.6449,Negative
4634,0,0.896,0.104,0.296,Positive
4635,0,1,0,0,Neutral
4636,0,1,0,0,Neutral
4637,0,1,0,0,Neutral
4638,0.185,0.722,0.093,-0.5526,Negative
4639,0,0.54,0.46,0.644,Positive
4640,0,1,0,0,Neutral
4641,0,1,0,0,Neutral
4642,0,1,0,0,Neutral
4643,0.348,0.652,0,-0.5859,Negative
4644,0,1,0,0,Neutral
4645,0,1,0,0,Neutral
4646,0,0.752,0.248,0.5106,Positive
4647,0,1,0,0,Neutral
4648,0,1,0,0,Neutral
4649,0.216,0.664,0.119,-0.4406,Negative
4650,0,1,0,0,Neutral
4651,0,1,0,0,Neutral
4652,0.508,0.492,0,-0.4767,Negative
4653,0,1,0,0,Neutral
4654,0,1,0,0,Neutral
4655,0,1,0,0,Neutral
4656,0,1,0,0,Neutral
4657,0.448,0.414,0.138,-0.6705,Negative
4658,0,1,0,0,Neutral
4659,0,0.608,0.392,0.7269,Positive
4660,0,0.639,0.361,0.3089,Positive
4661,0,1,0,0,Neutral
4662,0,0.549,0.451,0.5093,Positive
4663,0,1,0,0,Neutral
4664,0.508,0.492,0,-0.4767,Negative
4665,0.239,0.761,0,-0.296,Negative
4666,0,0.775,0.225,0.4939,Positive
4667,0.11,0.89,0,-0.5562,Negative
4668,0.268,0.732,0,-0.296,Negative
4669,0,1,0,0,Neutral
4670,0,1,0,0,Neutral
4671,0,1,0,0,Neutral
4672,0,1,0,0,Neutral
4673,1,0,0,-0.128,Negative
4674,0,0.588,0.412,0.6808,Positive
4675,0,1,0,0,Neutral
4676,0.206,0.794,0,-0.5994,Negative
4677,0,1,0,0,Neutral
4678,0,1,0,0,Neutral
4679,0,1,0,0,Neutral
4680,0,1,0,0,Neutral
4681,0,0.704,0.296,0.7227,Positive
4682,0.45,0.55,0,-0.5994,Negative
4683,0,1,0,0,Neutral
4684,0,1,0,0,Neutral
4685,0,1,0,0,Neutral
4686,0,1,0,0,Neutral
4687,0,0.633,0.367,0.7494,Positive
4688,0,1,0,0,Neutral
4689,0,1,0,0,Neutral
4690,0.429,0.571,0,-0.7184,Negative
4691,0,1,0,0,Neutral
4692,0,0.238,0.762,0.4939,Positive
4693,0,1,0,0,Neutral
4694,0,1,0,0,Neutral
4695,0,1,0,0,Neutral
4696,0,1,0,0,Neutral
4697,0,1,0,0,Neutral
4698,0,1,0,0,Neutral
4699,0.368,0.632,0,-0.5423,Negative
4700,0.517,0.483,0,-0.7579,Negative
4701,0,1,0,0,Neutral
4702,0,1,0,0,Neutral
4703,0,1,0,0,Neutral
4704,0.086,0.676,0.239,0.5267,Positive
4705,0.268,0.732,0,-0.5106,Negative
4706,0,1,0,0,Neutral
4707,0,1,0,0,Neutral
4708,0.454,0.546,0,-0.3595,Negative
4709,0,1,0,0,Neutral
4710,0,1,0,0,Neutral
4711,0,1,0,0,Neutral
4712,0,1,0,0,Neutral
4713,0,0.476,0.524,0.5106,Positive
4714,0,1,0,0,Neutral
4715,0.173,0.827,0,-0.3182,Negative
4716,0,1,0,0,Neutral
4717,0,1,0,0,Neutral
4718,0,1,0,0,Neutral
4719,0,1,0,0,Neutral
4720,0,1,0,0,Neutral
4721,0,0.655,0.345,0.7003,Positive
4722,0.084,0.916,0,-0.5423,Negative
4723,0,1,0,0,Neutral
4724,0,1,0,0,Neutral
4725,0,1,0,0,Neutral
4726,0,1,0,0,Neutral
4727,0,1,0,0,Neutral
4728,0,0.677,0.323,0.4329,Positive
4729,0,0.756,0.244,0.4404,Positive
4730,0.254,0.574,0.172,-0.25,Negative
4731,0,1,0,0,Neutral
4732,0,1,0,0,Neutral
4733,0,1,0,0,Neutral
4734,0,1,0,0,Neutral
4735,0.216,0.784,0,-0.296,Negative
4736,0,1,0,0,Neutral
4737,0.172,0.828,0,-0.4404,Negative
4738,0.583,0.417,0,-0.6361,Negative
4739,0,1,0,0,Neutral
4740,0,1,0,0,Neutral
4741,0,1,0,0,Neutral
4742,0,1,0,0,Neutral
4743,0,1,0,0,Neutral
4744,0,1,0,0,Neutral
4745,0,1,0,0,Neutral
4746,0,1,0,0,Neutral
4747,0,0.625,0.375,0.6369,Positive
4748,0.139,0.861,0,-0.2732,Negative
4749,0,1,0,0,Neutral
4750,0.438,0.562,0,-0.5994,Negative
4751,0,1,0,0,Neutral
4752,0,1,0,0,Neutral
4753,0,1,0,0,Neutral
4754,0,0.719,0.281,0.6487,Positive
4755,0,1,0,0,Neutral
4756,0,1,0,0,Neutral
4757,0,1,0,0,Neutral
4758,0,1,0,0,Neutral
4759,0,1,0,0,Neutral
4760,0.42,0.58,0,-0.6531,Negative
4761,0,1,0,0,Neutral
4762,0.322,0.678,0,-0.5859,Negative
4763,0,1,0,0,Neutral
4764,0,0.933,0.067,0.2023,Positive
4765,0.441,0.559,0,-0.7964,Negative
4766,0,1,0,0,Neutral
4767,0,1,0,0,Neutral
4768,0,1,0,0,Neutral
4769,0.259,0.741,0,-0.2732,Negative
4770,0,1,0,0,Neutral
4771,0,0.583,0.417,0.694,Positive
4772,0,0.727,0.273,0.7074,Positive
4773,0,1,0,0,Neutral
4774,0,1,0,0,Neutral
4775,0,1,0,0,Neutral
4776,0,1,0,0,Neutral
4777,0.104,0.896,0,-0.296,Negative
4778,0,1,0,0,Neutral
4779,0,1,0,0,Neutral
4780,0,1,0,0,Neutral
4781,0,1,0,0,Neutral
4782,0.524,0.476,0,-0.296,Negative
4783,0,0.751,0.249,0.4574,Positive
4784,0.243,0.388,0.369,0.3182,Positive
4785,0,1,0,0,Neutral
4786,0,1,0,0,Neutral
4787,0,1,0,0,Neutral
4788,0,0.597,0.403,0.4019,Positive
4789,0,1,0,0,Neutral
4790,0,0.687,0.313,0.4926,Positive
4791,0,1,0,0,Neutral
4792,0,1,0,0,Neutral
4793,0,1,0,0,Neutral
4794,0,1,0,0,Neutral
4795,0,1,0,0,Neutral
4796,0,1,0,0,Neutral
4797,0,1,0,0,Neutral
4798,0,1,0,0,Neutral
4799,0,0.894,0.106,0.3612,Positive
4800,0,1,0,0,Neutral
4801,0,1,0,0,Neutral
4802,0,1,0,0,Neutral
4803,0,1,0,0,Neutral
4804,0,1,0,0,Neutral
4805,0,1,0,0,Neutral
4806,0,1,0,0,Neutral
4807,0.467,0.533,0,-0.5423,Negative
4808,0,1,0,0,Neutral
4809,0,1,0,0,Neutral
4810,0,1,0,0,Neutral
4811,0,1,0,0,Neutral
4812,0,1,0,0,Neutral
4813,0.196,0.804,0,-0.4871,Negative
4814,0,1,0,0,Neutral
4815,0,0.749,0.251,0.8271,Positive
4816,0,1,0,0,Neutral
4817,0,0.718,0.282,0.6249,Positive
4818,0,1,0,0,Neutral
4819,0,1,0,0,Neutral
4820,0,1,0,0,Neutral
4821,0,1,0,0,Neutral
4822,0,1,0,0,Neutral
4823,0,1,0,0,Neutral
4824,0,1,0,0,Neutral
4825,0,1,0,0,Neutral
4826,0,0.696,0.304,0.4689,Positive
4827,0.573,0.427,0,-0.3987,Negative
4828,0,1,0,0,Neutral
4829,0,1,0,0,Neutral
4830,0,1,0,0,Neutral
4831,0,1,0,0,Neutral
4832,0,1,0,0,Neutral
4833,0,1,0,0,Neutral
4834,0,0.435,0.565,0.0772,Positive
4835,0,1,0,0,Neutral
4836,0,1,0,0,Neutral
4837,0,1,0,0,Neutral
4838,0,1,0,0,Neutral
4839,0.218,0.782,0,-0.5622,Negative
4840,0.127,0.755,0.118,-0.0516,Negative
4841,0,0.764,0.236,0.3553,Positive
4842,0,1,0,0,Neutral
4843,0,1,0,0,Neutral
4844,0,1,0,0,Neutral
4845,0,1,0,0,Neutral
4846,0.13,0.87,0,-0.2732,Negative
4847,0,1,0,0,Neutral
4848,0,1,0,0,Neutral
4849,0.086,0.814,0.1,0.0826,Positive
4850,0,1,0,0,Neutral
4851,0,1,0,0,Neutral
4852,0,1,0,0,Neutral
4853,0.255,0.745,0,-0.34,Negative
4854,0.171,0.722,0.107,-0.5526,Negative
4855,0,1,0,0,Neutral
4856,0,1,0,0,Neutral
4857,0,0.881,0.119,0.2235,Positive
4858,0,1,0,0,Neutral
4859,0,0.391,0.609,0.6884,Positive
4860,0,1,0,0,Neutral
4861,0,1,0,0,Neutral
4862,0,1,0,0,Neutral
4863,0,1,0,0,Neutral
4864,0.146,0.854,0,-0.34,Negative
4865,0,0.828,0.172,0.4003,Positive
4866,0,1,0,0,Neutral
4867,0,1,0,0,Neutral
4868,0.084,0.764,0.153,0.4885,Positive
4869,0,1,0,0,Neutral
4870,0,1,0,0,Neutral
4871,0,0.874,0.126,0.1511,Positive
4872,0,0.713,0.287,0.6166,Positive
4873,0,1,0,0,Neutral
4874,0,1,0,0,Neutral
4875,0,0.795,0.205,0.2023,Positive
4876,0.429,0.571,0,-0.128,Negative
4877,0,1,0,0,Neutral
4878,0,1,0,0,Neutral
4879,0,1,0,0,Neutral
4880,0,1,0,0,Neutral
4881,0,1,0,0,Neutral
4882,0,1,0,0,Neutral
4883,0,1,0,0,Neutral
4884,0,1,0,0,Neutral
4885,0.298,0.702,0,-0.5255,Negative
4886,0,1,0,0,Neutral
4887,0,1,0,0,Neutral
4888,0,1,0,0,Neutral
4889,0,1,0,0,Neutral
4890,0,1,0,0,Neutral
4891,0.21,0.79,0,-0.3382,Negative
4892,0,0.637,0.363,0.431,Positive
4893,0,0.833,0.167,0.34,Positive
4894,0.143,0.37,0.487,0.7579,Positive
4895,0,1,0,0,Neutral
4896,0,1,0,0,Neutral
4897,0,1,0,0,Neutral
4898,0.402,0.598,0,-0.521,Negative
4899,0.194,0.574,0.232,0.1363,Positive
4900,0,1,0,0,Neutral
4901,0.405,0.595,0,-0.5267,Negative
4902,0,1,0,0,Neutral
4903,1,0,0,-0.5267,Negative
4904,0,1,0,0,Neutral
4905,0,1,0,0,Neutral
4906,0.094,0.8,0.107,0.101,Positive
4907,0,1,0,0,Neutral
4908,0,1,0,0,Neutral
4909,0.11,0.761,0.129,0.0803,Positive
4910,0,1,0,0,Neutral
4911,0,1,0,0,Neutral
4912,0,1,0,0,Neutral
4913,0,0.813,0.187,0.4576,Positive
4914,0,1,0,0,Neutral
4915,0,1,0,0,Neutral
4916,0,1,0,0,Neutral
4917,0,0.716,0.284,0.4898,Positive
4918,0,1,0,0,Neutral
4919,0,1,0,0,Neutral
4920,0,1,0,0,Neutral
4921,0,1,0,0,Neutral
4922,0,0.736,0.264,0.7482,Positive
4923,0.412,0.588,0,-0.5423,Negative
4924,0,1,0,0,Neutral
4925,0,0.455,0.545,0.7342,Positive
4926,0,1,0,0,Neutral
4927,0,1,0,0,Neutral
4928,0,0.828,0.172,0.3595,Positive
4929,0,1,0,0,Neutral
4930,0,1,0,0,Neutral
4931,0,0.784,0.216,0.296,Positive
4932,0,1,0,0,Neutral
4933,0,1,0,0,Neutral
4934,0,1,0,0,Neutral
4935,0.182,0.74,0.078,-0.5242,Negative
4936,0,1,0,0,Neutral
4937,0,1,0,0,Neutral
4938,0,1,0,0,Neutral
4939,0,1,0,0,Neutral
4940,0,0.787,0.213,0.4019,Positive
4941,0,1,0,0,Neutral
4942,0.582,0.418,0,-0.4184,Negative
4943,0,0.861,0.139,0.5927,Positive
4944,0,1,0,0,Neutral
4945,0.115,0.885,0,-0.0772,Negative
4946,0.239,0.761,0,-0.296,Negative
4947,0,1,0,0,Neutral
4948,0,1,0,0,Neutral
4949,0,1,0,0,Neutral
4950,0,1,0,0,Neutral
4951,0.219,0.526,0.254,0.1027,Positive
4952,0.152,0.848,0,-0.3612,Negative
4953,0,1,0,0,Neutral
4954,0,1,0,0,Neutral
4955,0,1,0,0,Neutral
4956,0,1,0,0,Neutral
4957,0,0.86,0.14,0.0772,Positive
4958,0,1,0,0,Neutral
4959,0.152,0.484,0.364,0.469,Positive
4960,0.423,0.577,0,-0.296,Negative
4961,0.094,0.906,0,-0.3818,Negative
4962,0,1,0,0,Neutral
4963,0.224,0.776,0,-0.3818,Negative
4964,0,1,0,0,Neutral
4965,0,0.902,0.098,0.3612,Positive
4966,0,1,0,0,Neutral
4967,0,0.625,0.375,0.34,Positive
4968,0,1,0,0,Neutral
4969,0,0.476,0.524,0.296,Positive
4970,0,1,0,0,Neutral
4971,0,0.58,0.42,0.4404,Positive
4972,0.121,0.751,0.128,0.0431,Neutral
4973,0,0.455,0.545,0.34,Positive
4974,0,1,0,0,Neutral
4975,0,0.656,0.344,0.484,Positive
4976,0,0.323,0.677,0.6369,Positive
4977,0,1,0,0,Neutral
4978,0,1,0,0,Neutral
4979,0,1,0,0,Neutral
4980,0,1,0,0,Neutral
4981,0.255,0.745,0,-0.4724,Negative
4982,0.139,0.603,0.258,0.4824,Positive
4983,0,1,0,0,Neutral
4984,0,1,0,0,Neutral
4985,0.423,0.577,0,-0.296,Negative
4986,0.335,0.551,0.114,-0.4215,Negative
4987,0.275,0.725,0,-0.2263,Negative
4988,0,1,0,0,Neutral
4989,0,1,0,0,Neutral
4990,0,1,0,0,Neutral
4991,0,1,0,0,Neutral
4992,0,1,0,0,Neutral
4993,0,1,0,0,Neutral
4994,0,1,0,0,Neutral
4995,0.155,0.845,0,-0.4466,Negative
4996,0.358,0.642,0,-0.6662,Negative
4997,0,1,0,0,Neutral
4998,0,1,0,0,Neutral
4999,0.433,0.567,0,-0.4696,Negative
5000,0,0.748,0.252,0.4019,Positive
5001,0.236,0.564,0.2,-0.1634,Negative
5002,0,1,0,0,Neutral
5003,0,0.595,0.405,0.5267,Positive
5004,0,1,0,0,Neutral
5005,0,0.513,0.487,0.2263,Positive
5006,0,1,0,0,Neutral
5007,0,0.417,0.583,0.4939,Positive
5008,0,1,0,0,Neutral
5009,0.398,0.602,0,-0.5106,Negative
5010,0,1,0,0,Neutral
5011,0,1,0,0,Neutral
5012,0.339,0.661,0,-0.2617,Negative
5013,0,1,0,0,Neutral
5014,0,0.831,0.169,0.4724,Positive
5015,0,1,0,0,Neutral
5016,0.782,0.218,0,-0.5563,Negative
5017,0,1,0,0,Neutral
5018,0,1,0,0,Neutral
5019,0,1,0,0,Neutral
5020,0,1,0,0,Neutral
5021,0,1,0,0,Neutral
5022,0.636,0.364,0,-0.5423,Negative
5023,0.028,0.793,0.179,0.8741,Positive
5024,0.298,0.702,0,-0.6249,Negative
5025,0,1,0,0,Neutral
5026,0,0.647,0.353,0.5994,Positive
5027,0,1,0,0,Neutral
5028,0,0.466,0.534,0.5319,Positive
5029,0,1,0,0,Neutral
5030,0,1,0,0,Neutral
5031,0,1,0,0,Neutral
5032,0,1,0,0,Neutral
5033,0.208,0.792,0,-0.2732,Negative
5034,0,1,0,0,Neutral
5035,0,1,0,0,Neutral
5036,0,0.783,0.217,0.3612,Positive
5037,0.365,0.635,0,-0.4359,Negative
5038,0,1,0,0,Neutral
5039,0,1,0,0,Neutral
5040,0,1,0,0,Neutral
5041,0,1,0,0,Neutral
5042,0.16,0.84,0,-0.4588,Negative
5043,0.44,0.56,0,-0.6705,Negative
5044,0,1,0,0,Neutral
5045,0.222,0.778,0,-0.375,Negative
5046,0,1,0,0,Neutral
5047,0,1,0,0,Neutral
5048,0,1,0,0,Neutral
5049,0,1,0,0,Neutral
5050,0,0.855,0.145,0.5994,Positive
5051,0,1,0,0,Neutral
5052,0.144,0.743,0.114,-0.1531,Negative
5053,0,1,0,0,Neutral
5054,0,1,0,0,Neutral
5055,0.093,0.773,0.133,0.128,Positive
5056,0,1,0,0,Neutral
5057,0,0.417,0.583,0.4215,Positive
5058,0,0.737,0.263,0.3612,Positive
5059,0.076,0.729,0.196,0.5086,Positive
5060,0,1,0,0,Neutral
5061,0,0.358,0.642,0.5562,Positive
5062,0,1,0,0,Neutral
5063,0.235,0.765,0,-0.4724,Negative
5064,0,1,0,0,Neutral
5065,0,1,0,0,Neutral
5066,0,1,0,0,Neutral
5067,0,1,0,0,Neutral
5068,0,0.783,0.217,0.4689,Positive
5069,0,1,0,0,Neutral
5070,0,1,0,0,Neutral
5071,0,1,0,0,Neutral
5072,0,1,0,0,Neutral
5073,0,0.807,0.193,0.6433,Positive
5074,0.142,0.858,0,-0.3595,Negative
5075,0.148,0.852,0,-0.7512,Negative
5076,0.447,0.553,0,-0.4995,Negative
5077,0,1,0,0,Neutral
5078,0,1,0,0,Neutral
5079,0,1,0,0,Neutral
5080,0,0.901,0.099,0.296,Positive
5081,0,0.543,0.457,0.6369,Positive
5082,0,1,0,0,Neutral
5083,0,0.816,0.184,0.4466,Positive
5084,0,1,0,0,Neutral
5085,0.107,0.761,0.132,0.128,Positive
5086,0,1,0,0,Neutral
5087,0.179,0.821,0,-0.2411,Negative
5088,0,1,0,0,Neutral
5089,0,0.634,0.366,0.8257,Positive
5090,0,1,0,0,Neutral
5091,0,1,0,0,Neutral
5092,0,1,0,0,Neutral
5093,0,1,0,0,Neutral
5094,0.39,0.61,0,-0.4926,Negative
5095,0.457,0.247,0.296,-0.3182,Negative
5096,0,1,0,0,Neutral
5097,0,1,0,0,Neutral
5098,0.423,0.577,0,-0.296,Negative
5099,0,1,0,0,Neutral
5100,0,1,0,0,Neutral
5101,0,1,0,0,Neutral
5102,0,1,0,0,Neutral
5103,0.355,0.645,0,-0.296,Negative
5104,0,1,0,0,Neutral
5105,0,1,0,0,Neutral
5106,0.205,0.795,0,-0.6597,Negative
5107,0,1,0,0,Neutral
5108,0.439,0.561,0,-0.6901,Negative
5109,0,0.77,0.23,0.5983,Positive
5110,0,1,0,0,Neutral
5111,0,0.605,0.395,0.8016,Positive
5112,0.778,0.222,0,-0.5423,Negative
5113,0,1,0,0,Neutral
5114,0,1,0,0,Neutral
5115,0,1,0,0,Neutral
5116,0.182,0.818,0,-0.25,Negative
5117,0.284,0.37,0.346,0.128,Positive
5118,0,1,0,0,Neutral
5119,0,1,0,0,Neutral
5120,0,1,0,0,Neutral
5121,0,1,0,0,Neutral
5122,0,1,0,0,Neutral
5123,0,0.781,0.219,0.7314,Positive
5124,0,1,0,0,Neutral
5125,0.174,0.826,0,-0.4889,Negative
5126,0.314,0.686,0,-0.494,Negative
5127,0.667,0.333,0,-0.25,Negative
5128,0,1,0,0,Neutral
5129,0,1,0,0,Neutral
5130,0,1,0,0,Neutral
5131,0.697,0.303,0,-0.3182,Negative
5132,0,1,0,0,Neutral
5133,0,0.804,0.196,0.296,Positive
5134,0,1,0,0,Neutral
5135,0,1,0,0,Neutral
5136,0.636,0.364,0,-0.5423,Negative
5137,0.43,0.57,0,-0.6739,Negative
5138,0.167,0.833,0,-0.0516,Negative
5139,0,1,0,0,Neutral
5140,0,1,0,0,Neutral
5141,0,1,0,0,Neutral
5142,0,1,0,0,Neutral
5143,0,0.545,0.455,0.3612,Positive
5144,0,1,0,0,Neutral
5145,0,1,0,0,Neutral
5146,0,1,0,0,Neutral
5147,0,1,0,0,Neutral
5148,0,1,0,0,Neutral
5149,0,1,0,0,Neutral
5150,0.412,0.588,0,-0.5423,Negative
5151,0,0.522,0.478,0.5673,Positive
5152,0,1,0,0,Neutral
5153,0,1,0,0,Neutral
5154,0,1,0,0,Neutral
5155,0,1,0,0,Neutral
5156,0,1,0,0,Neutral
5157,0,1,0,0,Neutral
5158,0,1,0,0,Neutral
5159,0,1,0,0,Neutral
5160,0,1,0,0,Neutral
5161,0,1,0,0,Neutral
5162,0,0.455,0.545,0.5859,Positive
5163,0.218,0.782,0,-0.7293,Negative
5164,0,1,0,0,Neutral
5165,0,0.571,0.429,0.7184,Positive
