MVIS,MVIS_vol,MVIS_high,MVIS_low,positive,neutral,negative
-0.018284055578421235,8711300,7.449999809265137,6.820000171661377,3771.0,8348.0,3575.0
0.03527812158506626,10596300,7.579999923706055,6.849999904632568,335.0,362.0,187.0
0.034076045213911145,13461000,8.130000114440918,7.099999904632568,704.0,510.0,288.0
0.1760259259343176,33647000,9.84000015258789,8,980.0,966.0,697.0
0.10358177180318258,24668700,10.88000011444092,8.819999694824219,553.0,877.0,241.0
0.10485268996072723,26994100,12.39999961853027,9.829999923706055,644.0,1350.0,604.0
0.21603262550875313,29250300,15.52999973297119,12.18000030517578,107.0,110.0,70.0
0.012080493698644442,16121900,16.19000053405762,14.0600004196167,14.0,98.0,36.0
-0.06428568703787642,17372700,15.64999961853027,13.07999992370605,48.0,115.0,59.0
0.23539047469439958,43565400,21.75,17,54.0,103.0,12.0
0.0010911324520959454,14541700,19.3799991607666,16.85000038146973,97.0,34.0,48.0
0.22723438219552725,26160100,24.18000030517578,19.54999923706055,71.0,19.0,0.0
-0.20101262346098678,16020300,22.3799991607666,19,37.0,38.0,96.0
-0.0947893014240833,11044300,20.95999908447266,17.5,67.0,53.0,125.0
0.11999995534012975,12016200,20.89999961853027,18.29999923706055,144.0,175.0,28.0
-0.1344770529172618,10060800,21.36000061035156,17.75,27.0,86.0,26.0
-0.11612100671718897,15169300,17.14999961853027,13.90999984741211,71.0,117.0,80.0
0.09855226284200057,9284500,18.96999931335449,16.45000076293945,153.0,83.0,4.0
-0.11001228341927033,8026000,18.23999977111816,15.80000019073486,144.0,350.0,51.0
-0.08809686817071874,9346800,16.17000007629395,14.1899995803833,230.0,281.0,54.0
0.15463332822249215,8547000,17.94000053405762,16,65.0,65.0,3.0
-0.03775807438591838,12423400,19.25,16.64999961853027,118.0,195.0,46.0
-0.1035156993360348,7110500,17.29000091552734,15.09000015258789,261.0,230.0,98.0
-0.15924525710771695,14414300,15.57999992370605,12.19999980926514,160.0,182.0,133.0
-0.03354136625677005,18999700,13.75,10.11999988555908,202.0,165.0,60.0
-0.08920978727472818,8994900,13.26000022888184,11.51000022888184,58.0,61.0,7.0
0.16406246295876084,11833900,14.61999988555908,12.10000038146973,201.0,144.0,9.0
0.018815362410187424,10208200,15.61999988555908,13.6899995803833,175.0,343.0,65.0
0.0323667933044983,9720000,15.72999954223633,13.96000003814697,164.0,277.0,113.0
0.15111617020101198,20684400,18.21999931335449,14.71000003814697,71.0,184.0,57.0
0.020190724166684944,9632200,18.64999961853027,17.26000022888184,59.0,35.0,0.0
-0.05941770674588304,8027200,18.14999961853027,16.3700008392334,101.0,90.0,45.0
0.03497709814631788,6942800,17.75,15.30000019073486,63.0,158.0,14.0
-0.09410294812807331,6092900,17.64999961853027,15.77999973297119,71.0,110.0,34.0
0.08126805591268738,7904700,17.73999977111816,15.5600004196167,31.0,115.0,72.0
0.03450188957013501,11621000,19.28000068664551,16.67000007629395,13.0,32.0,15.0
-0.13590389759828356,10830100,18.95999908447266,15.55000019073486,49.0,44.0,20.0
-0.19848484268311054,12629700,16.29000091552734,13.11999988555908,26.0,95.0,22.0
0.05781587483109889,11953200,14.18000030517578,12.5600004196167,106.0,97.0,66.0
-0.04163571952104701,6983900,14,12.60000038146973,72.0,89.0,24.0
-0.10882107851365509,7266700,13.72999954223633,12.02999973297119,28.0,37.0,1.0
0.014622282619011008,8775900,12.61999988555908,11.32999992370605,59.0,18.0,24.0
0.33638809024730976,56686200,19.3700008392334,12.77999973297119,23.0,57.0,4.0
-0.19369364752872248,26087100,17.38999938964844,15.19999980926514,48.0,71.0,19.0
0.009560205388265996,9009300,16.31999969482422,15.14999961853027,1.0,28.0,9.0
-0.024151429042396307,7434800,15.73999977111816,14.36999988555908,20.0,53.0,5.0
-0.04931502017413034,9514400,16.20000076293945,14.44999980926514,50.0,12.0,4.0
-0.03180217491668037,6438700,14.84000015258789,13.94999980926514,32.0,31.0,8.0
0.004922689675389629,6310700,14.47999954223633,13.60000038146973,44.0,17.0,46.0
-0.10061920921503271,8498100,14.31999969482422,12.78999996185303,29.0,14.0,4.0
-0.0007746110766876481,7040900,13.38000011444092,12.55000019073486,25.0,59.0,21.0
-0.04619122267228505,16554700,14.78999996185303,12.25,14.0,65.0,43.0
-0.087224646506132,18721500,12.47999954223633,10.39999961853027,11.0,40.0,32.0
-0.02901184553450037,7619500,11.64000034332275,10.5600004196167,33.0,30.0,17.0
-0.050476165044875204,6171300,11.14999961853027,10.31999969482422,0.0,0.0,23.0
-0.010587069590227892,16808800,12.11999988555908,10.07999992370605,25.0,0.0,42.0
0.16879997253417997,23527900,12.65999984741211,10.11999988555908,63.0,6.0,0.0
0.04870626534252522,38728900,14.93000030517578,12.8100004196167,0.0,50.0,8.0
0.2687812551246066,117641000,19.13999938964844,13.52999973297119,0.0,32.0,14.0
0.3203479973380803,213591300,27.79999923706055,19.75,0.0,0.0,25.0
-0.3115079729254889,158525900,28,19.19000053405762,27.0,63.0,22.0
0.03954263614848225,179275800,25.75,20.70999908447266,0.0,84.0,0.0
-0.16611109839545335,74629000,20.60000038146973,17.53000068664551,24.0,45.0,24.0
-0.18032786885245902,74012300,15.9399995803833,13.86999988555908,32.0,0.0,16.0
-0.10028862754358714,27284200,15.59000015258789,13.39999961853027,,,
0.09999999999999956,69572300,16.76000022888184,12.80000019073486,,,
-0.06353591887972206,27034800,15.90999984741211,14.14999961853027,0.0,42.0,0.0
-0.03428568158830928,15059700,14.53999996185303,13.21000003814697,80.0,81.0,0.0
